Year,Month,AGX,Arlington A,Arlington B,Arlington DB,Distributed BESS,EE_Baseline,Four Corners 4,Four Corners 5,Griffith A,Griffith B,Griffith DB,Incremental_DG,Microgrid - FUTURE,Microgrid XHLF,New Solar,PVS Solar 5 HR,PVS Solar 5 HR ITC,Redhawk 1 A,Redhawk 1 B,Redhawk 1 DB,Redhawk 2 A,Redhawk 2 B,Redhawk 2 DB,Short-Term Purch,South Point A,South Point B,South Point DB,West Phoenix CC5 A,West Phoenix CC5 B,West Phoenix CC5 DB
2033,5,102.7,124.999,69.166,79,219,959,283.4999979,283.4999979,131.749,8.432,107,1285,0.4,16.9,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2033,6,102.7,124.999,69.166,79,219,959,283.4999979,283.4999979,131.749,8.432,107,1285,0.4,16.9,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2033,7,102.7,124.999,69.166,79,219,959,283.4999979,283.4999979,131.749,8.432,107,1285,0.4,16.9,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2033,8,102.7,124.999,69.166,79,219,959,283.4999979,283.4999979,131.749,8.432,107,1285,0.4,16.9,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2033,9,102.7,124.999,69.166,79,219,959,283.4999979,283.4999979,131.749,8.432,107,1285,0.4,16.9,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2033,10,102.7,124.999,69.166,79,219,959,283.4999979,283.4999979,131.749,8.432,107,1285,0.4,16.9,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2033,11,102.7,124.999,69.166,79,219,959,283.4999979,283.4999979,131.749,8.432,107,1285,0.4,16.9,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2033,12,102.7,124.999,69.166,79,219,959,283.4999979,283.4999979,131.749,8.432,107,1285,0.4,16.9,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2034,1,102.7,124.999,69.166,79,251,1069,283.4999979,283.4999979,131.749,8.432,107,1376,0.4,18.8,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2034,2,102.7,124.999,69.166,79,251,1069,283.4999979,283.4999979,131.749,8.432,107,1376,0.4,18.8,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2034,3,102.7,124.999,69.166,79,251,1069,283.4999979,283.4999979,131.749,8.432,107,1376,0.4,18.8,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2034,4,102.7,124.999,69.166,79,251,1069,283.4999979,283.4999979,131.749,8.432,107,1376,0.4,18.8,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2034,5,102.7,124.999,69.166,79,251,1069,283.4999979,283.4999979,131.749,8.432,107,1376,0.4,18.8,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2034,6,102.7,124.999,69.166,79,251,1069,283.4999979,283.4999979,131.749,8.432,107,1376,0.4,18.8,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2034,7,102.7,124.999,69.166,79,251,1069,283.4999979,283.4999979,131.749,8.432,107,1376,0.4,18.8,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2034,8,102.7,124.999,69.166,79,251,1069,283.4999979,283.4999979,131.749,8.432,107,1376,0.4,18.8,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2034,9,102.7,124.999,69.166,79,251,1069,283.4999979,283.4999979,131.749,8.432,107,1376,0.4,18.8,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2034,10,102.7,124.999,69.166,79,251,1069,283.4999979,283.4999979,131.749,8.432,107,1376,0.4,18.8,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2034,11,102.7,124.999,69.166,79,251,1069,283.4999979,283.4999979,131.749,8.432,107,1376,0.4,18.8,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2034,12,102.7,124.999,69.166,79,251,1069,283.4999979,283.4999979,131.749,8.432,107,1376,0.4,18.8,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2035,1,102.7,124.999,69.166,79,282,1181,283.4999979,283.4999979,131.749,8.432,107,1468,0.4,21.1,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
