Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2044,11,2,7197.311401,7004.691794,6925.55381,6871.665798,6956.044137,7260.419951,7610.093568,7800.859589,7972.652964,8090.330618,8490.401924,8554.822817,8578.632193,8369.448302,8280.793984,7848.196328,7601.479319,7782.998208,7927.477315,8207.177289,8382.99949,7892.913801,7601.80456,7342.701546
2044,11,3,7177.90197,6974.582796,6889.716155,6830.412381,6898.277671,7193.869752,7553.348478,7683.545279,7832.305067,7970.616546,8417.683201,8469.399099,8424.43607,8246.626326,8113.06315,7735.954061,7626.955618,7844.517211,7985.845538,8246.321578,8406.801506,7900.143142,7596.684116,7323.877517
2044,11,4,7079.060433,6886.141597,6816.035986,6758.986825,6786.289863,7057.911417,7379.370565,7599.273131,7907.808464,8183.145566,8554.678553,8617.154736,8726.698265,8598.100002,8652.147618,8285.581048,7979.283168,8002.341586,8114.73268,8372.683405,8402.311979,7896.185877,7599.172918,7358.538547
2044,11,5,7097.522173,6962.226972,6895.01668,6878.549422,6914.579415,7098.002378,7324.804042,7517.489957,7749.760231,7873.100482,8203.258463,8295.94079,8317.638051,8130.4458,8097.545186,7767.836321,7581.52006,7671.854632,7763.666683,7813.849013,7845.649584,7507.944478,7321.927769,7139.46342
2044,11,6,6752.464692,6630.039425,6570.00829,6550.163615,6590.82933,6854.329741,7160.323838,7356.918351,7628.214527,7875.352714,8204.098594,8324.073936,8445.189737,8319.582555,8359.328635,8049.242745,7798.783383,7813.128263,7974.280308,8119.573009,8071.572735,7711.104873,7462.986115,7268.044518
2044,11,7,7097.006118,6895.349988,6817.284778,6767.231643,6798.532484,7061.456126,7354.166432,7564.722133,7834.587338,8103.750502,8478.178558,8550.458217,8642.904602,8509.879004,8608.843188,8194.577413,7944.791466,7990.290185,8132.064331,8389.720877,8426.356107,7913.802765,7609.575188,7371.599416
2044,11,8,7074.509206,6872.776388,6794.777227,6744.309518,6775.560121,7035.065182,7321.604929,7556.087781,7835.745946,8120.783844,8504.751028,8578.845463,8667.458787,8529.411338,8615.609247,8272.204235,7972.992858,7962.154117,8102.537499,8361.192516,8399.579888,7886.79876,7583.733686,7347.591582
2044,11,9,7093.293515,6886.403747,6802.976166,6757.125796,6792.474156,7047.413925,7315.477754,7525.334578,7784.07328,8053.417224,8430.235254,8508.669214,8587.557232,8449.088291,8570.305478,8248.061181,7962.727404,7985.763655,8122.835071,8380.66531,8422.717372,7906.542638,7598.660721,7363.675766
2044,11,10,7092.53265,6883.734139,6798.532329,6753.845063,6790.869708,7042.506403,7300.974066,7539.511467,7803.287813,8081.867265,8465.218345,8545.285653,8620.266165,8480.677603,8613.117318,8285.317681,7993.160613,8013.969805,8121.066902,8379.137585,8422.928289,7904.980541,7595.646229,7361.731828
2044,11,11,6723.030279,6595.801495,6548.16906,6533.108432,6556.421119,6810.573177,7120.438632,7303.151646,7554.130972,7777.305157,8144.172769,8266.645808,8358.555554,8202.753121,8278.508407,7997.712476,7771.711162,7793.044979,7964.443653,8130.210529,8077.860158,7693.520005,7452.473301,7273.752212
2044,11,12,7022.843903,6879.768946,6807.609333,6790.738743,6828.91974,6992.06113,7174.545308,7372.096584,7588.096672,7731.105606,8065.292483,8176.948206,8198.623819,8022.16101,8037.517514,7734.64867,7572.427625,7660.377577,7725.978834,7768.649843,7800.474371,7449.445798,7256.655624,7076.968414
2044,11,13,6700.273849,6571.991163,6508.272754,6489.252268,6533.794864,6779.466701,7043.941761,7231.560263,7482.724256,7739.223009,8073.027224,8198.312765,8314.735362,8190.998481,8259.262651,7886.449532,7687.478149,7718.512209,7907.50448,8056.739378,8017.142434,7648.907287,7398.887438,7210.791002
2044,11,14,7013.948156,6812.579625,6737.672307,6681.680009,6713.266548,6960.912398,7227.970372,7435.240851,7694.661163,7991.160417,8382.061503,8454.374871,8555.585061,8426.767634,8526.022231,8180.883371,7888.491168,7895.309824,8032.386787,8295.864368,8336.652465,7819.008359,7518.764037,7287.06385
2044,11,15,7078.504967,6862.289517,6770.894567,6711.624546,6778.064911,7040.150723,7336.072519,7575.206766,7620.762701,7901.845176,8239.620417,8275.322611,8330.469332,8145.156241,8337.733662,7970.129221,7694.874592,7788.194999,7897.461989,8156.280419,8325.943539,7801.976944,7492.022103,7226.239033
2044,11,16,7055.35144,6843.159146,6755.257176,6692.462943,6758.98096,7021.384971,7318.202623,7457.178374,7460.230227,7776.139531,8319.085256,7980.414487,8004.916137,7965.306666,7788.611048,7660.83883,7548.908772,7757.800667,7870.80856,8131.539159,8298.829747,7776.511264,7470.378329,7204.954363
2044,11,17,7064.053151,6862.787752,6780.936337,6720.619983,6802.000382,7073.177955,7363.777243,7515.580158,7618.30562,7567.28621,8021.277881,7887.532745,7849.418172,7461.513055,7551.084494,7351.642329,7343.413417,7657.948579,7791.346806,8075.072234,8254.549814,7746.193853,7452.55615,7200.376347
2044,11,18,7154.410822,6962.191966,6884.498609,6832.732392,6929.375483,7167.509692,7392.86255,7611.599241,7789.906151,7927.21303,8299.981056,8347.22935,8340.2773,8126.956478,8107.833213,7714.902642,7486.391596,7690.792306,7817.339463,8078.070002,8277.497521,7830.304522,7605.829042,7392.382721
2044,11,19,7159.717131,7030.026059,6930.561325,6889.672515,7000.41071,7336.499673,7676.938223,7802.990709,7765.347513,7799.582777,8068.71982,8066.045248,8088.696908,7858.812869,7604.639936,7226.349128,7073.839496,7264.688815,7421.84526,7623.551022,7787.06938,7544.348697,7428.188214,7262.433658
2044,11,20,7039.364223,6914.940394,6843.04082,6803.784971,6849.253864,6975.974667,7074.789417,7332.164846,7637.501144,7822.775102,8204.069954,8322.36647,8352.184765,8145.749751,8092.931317,7751.666079,7588.868792,7777.523333,8001.218606,8160.855098,8232.751905,7858.826054,7611.114908,7399.892369
2044,11,21,7556.696737,7349.097537,7231.672738,7158.212602,7259.832469,7606.946179,7958.05851,8148.560211,8255.402422,8274.145074,8630.527114,8576.658167,8534.606801,8140.267282,8066.319847,7602.931153,7401.345177,7475.964429,7578.376527,7895.932916,8152.624933,7766.94111,7603.998034,7394.110282
2044,11,22,7646.341085,7435.589308,7316.044054,7243.93807,7347.763305,7703.230541,8069.245403,8254.726153,8349.811047,8362.371887,8714.629446,8663.221506,8624.587404,8227.797247,8148.807844,7683.891794,7486.001382,7568.488647,7672.857093,7989.725188,8245.226308,7858.48798,7692.7347,7479.391872
2044,11,23,7343.320169,7144.792195,7064.799859,7026.938688,7142.616939,7443.520714,7754.068265,8105.91477,7987.166533,7979.641061,8462.536467,8372.302342,8171.809994,7989.63715,8073.833133,7675.709698,7551.432239,7842.457144,8261.964112,8465.2753,8540.035392,8040.62601,7750.429839,7506.638191
